date,open,close,high,low,volume,amount
2020-01-02,13.05,13.21,13.31,12.99,159346.0,765516496.0
2020-01-03,13.22,13.17,13.49,13.05,129936.0,628361968.0
2020-01-06,12.95,13.25,13.55,12.89,169871.0,822172480.0
2020-01-07,13.26,13.17,13.32,13.08,93401.0,449013440.0
2020-01-08,13.01,12.92,13.27,12.87,110974.0,529249408.0
2020-01-09,13.07,13.04,13.22,12.95,89217.0,425352464.0
2020-01-10,13.04,12.8,13.04,12.69,109295.0,512929712.0
2020-01-13,14.36,14.36,14.36,13.99,518828.0,2662873920.0
2020-01-14,15.49,14.97,15.82,14.82,614976.0,3356918720.0
2020-01-15,15.16,14.93,15.41,14.58,298705.0,1594534512.0
2020-01-16,14.99,15.19,15.34,14.42,335737.0,1778235680.0
2020-01-17,15.11,16.47,16.99,14.89,530600.0,3022542416.0
2020-01-20,16.26,16.74,17.12,15.99,300776.0,1742179872.0
2020-01-21,16.4,16.06,16.4,16.01,203837.0,1161444864.0
2020-01-22,15.99,16.91,17.32,15.86,327980.0,1927419440.0
2020-01-23,16.49,17.1,17.78,16.33,291585.0,1735366432.0
2020-02-03,15.11,15.11,15.32,15.11,100398.0,540735184.0
2020-02-04,15.16,15.94,16.32,15.16,367775.0,2057907664.0
2020-02-05,16.39,17.43,17.82,16.15,446230.0,2698234960.0
2020-02-06,16.64,17.41,17.44,16.62,301132.0,1792085760.0
2020-02-07,17.4,16.46,17.4,16.04,321282.0,1868897088.0
2020-02-10,16.89,17.47,18.28,16.77,352796.0,2143782480.0
2020-02-11,17.16,16.84,17.2,16.58,196176.0,1162310512.0
2020-02-12,16.84,16.89,17.36,16.61,197456.0,1171671712.0
2020-02-13,16.66,16.34,17.2,16.32,236947.0,1387055824.0
2020-02-14,16.34,16.12,16.46,15.97,211174.0,1205977328.0
2020-02-17,16.13,16.65,16.68,16.13,209889.0,1215249648.0
2020-02-18,16.42,16.98,17.16,16.41,228365.0,1350970752.0
2020-02-19,18.65,17.79,18.65,17.71,437477.0,2773613072.0
2020-02-20,18.21,19.86,19.86,18.19,649391.0,4366081792.0
2020-02-21,19.49,19.66,19.91,19.05,455189.0,3046190976.0
2020-02-24,18.96,19.22,19.54,18.81,357969.0,2351741648.0
2020-02-25,18.62,20.77,21.22,18.55,407434.0,2786635360.0
2020-02-26,20.42,21.06,22.42,20.16,522768.0,3774510848.0
2020-02-27,21.05,20.51,21.54,19.85,272700.0,1912686992.0
2020-02-28,19.38,18.95,20.15,18.81,338254.0,2251947904.0
2020-03-02,19.02,19.44,19.57,18.49,225643.0,1492112192.0
2020-03-03,20.42,19.78,20.56,19.64,274253.0,1880749808.0
2020-03-04,19.47,19.35,19.76,18.73,180933.0,1198529232.0
2020-03-05,19.5,19.43,19.7,18.99,170004.0,1128290416.0
2020-03-06,18.99,18.94,19.67,18.93,147210.0,972613008.0
2020-03-09,18.25,16.97,18.25,16.88,292479.0,1789143872.0
2020-03-10,16.36,17.21,17.66,16.27,266805.0,1578089168.0
2020-03-11,17.41,16.74,17.54,16.69,222212.0,1327803136.0
2020-03-12,16.26,16.17,16.38,15.79,232383.0,1319050416.0
2020-03-13,15.09,15.71,15.99,14.61,213198.0,1162290576.0
2020-03-16,16.02,15.12,16.27,15.12,238773.0,1326361264.0
2020-03-17,15.12,14.84,15.48,14.45,180919.0,961588992.0
2020-03-18,15.02,14.52,15.38,14.5,172684.0,925695056.0
