date,open,high,low,close,volume,amount,pct_chg
2025-07-01,1357.02,1359.96,1351.33,1353.12,19878,2698593.6,-0.29
2025-07-02,1357.52,1362.82,1348.02,1357.62,26218,3558300.32,0.33
2025-07-03,1360.02,1370.71,1356.02,1363.62,24413,3329186.06,0.44
2025-07-04,1363.72,1379.91,1358.03,1370.24,28767,3943109.28,0.49
2025-07-07,1370.3,1371.52,1358.03,1358.72,23855,3249248.96,-0.84
2025-07-08,1358.73,1368.02,1358.72,1364.13,18674,2546473.62,0.4
2025-07-09,1363.02,1377.99,1362.19,1366.9,27745,3798461.5,0.2
2025-07-10,1366.99,1384.2,1358.42,1374.52,38725,5309085.1,0.56
2025-07-11,1371.18,1406.02,1371.18,1375.02,57243,7880636.86,0.04
2025-07-14,1378.02,1383.0,1369.62,1371.62,27781,3812527.22,-0.25
2025-07-15,1369.0,1370.95,1356.34,1359.02,35406,4809648.12,-0.92
2025-07-16,1358.03,1365.51,1357.97,1359.05,21286,2893727.3,0.0
2025-07-17,1362.0,1371.03,1360.9,1364.37,23106,3153147.42,0.39
2025-07-18,1368.02,1385.83,1364.4,1385.02,41823,5790008.46,1.51
2025-07-21,1385.01,1394.82,1383.02,1391.02,26203,3643225.02,0.43
2025-07-22,1392.02,1414.62,1388.7,1413.0,42119,5951246.7,1.58
2025-07-23,1417.02,1443.02,1416.97,1423.52,45045,6433947.6,0.74
2025-07-24,1424.02,1447.02,1423.02,1439.52,38804,5582423.08,1.12
2025-07-25,1439.42,1439.42,1401.02,1403.02,41911,5888635.42,-2.54
2025-07-28,1401.02,1403.01,1384.32,1386.68,38586,5350476.24,-1.16
2025-07-29,1387.62,1396.81,1383.03,1387.02,26304,3647004.48,0.02
2025-07-30,1392.02,1405.18,1385.02,1397.46,31868,4452987.28,0.75
2025-07-31,1391.02,1392.89,1366.02,1369.69,51798,7091517.62,-1.99
2025-08-01,1369.89,1373.98,1362.02,1365.02,29636,4046109.2,-0.34
2025-08-04,1363.02,1367.82,1362.02,1367.02,18688,2554729.76,0.15
2025-08-05,1369.02,1377.96,1365.13,1375.76,25342,3485873.92,0.64
2025-08-06,1377.02,1377.02,1367.32,1371.9,23699,3251432.1,-0.28
2025-08-07,1371.9,1375.72,1368.08,1370.37,28001,3839042.37,-0.11
2025-08-08,1371.07,1374.52,1366.02,1368.99,18655,2554385.45,-0.1
