date,open,high,low,close,volume,amount,pct_chg,adj_factor
2025-07-01,19.99,19.99,19.39,19.5,970065.09,1922931.59,-2.664,27.1357
2025-07-02,19.52,19.61,19.26,19.34,579164.94,1136491.68,-0.8109,27.1357
2025-07-03,19.39,19.62,19.19,19.3,475300.27,929948.97,-0.2044,27.1357
2025-07-04,19.3,19.39,19.02,19.05,604602.45,1171980.01,-1.3313,27.1357
2025-07-07,18.98,19.15,18.9,19.04,349901.12,674658.04,-0.0519,27.1357
2025-07-08,19.03,19.35,18.99,19.27,559670.07,1087666.24,1.2461,27.1357
2025-07-09,19.21,19.7,19.18,19.43,810330.72,1597960.62,0.8205,27.1357
2025-07-10,19.37,19.55,19.16,19.23,568778.2,1110386.41,-1.0173,27.1357
2025-07-11,19.24,19.31,18.99,19.21,537646.95,1041680.06,-0.1028,27.1357
2025-07-14,19.21,19.31,19.04,19.13,406160.92,785935.55,-0.4115,27.1357
2025-07-15,19.08,19.24,18.83,19.07,484160.37,932126.49,-0.3616,27.1357
2025-07-16,18.99,19.68,18.99,19.3,853033.74,1677353.68,1.2442,27.1357
2025-07-17,19.17,19.47,19.03,19.46,581976.18,1136499.24,0.8193,27.1357
2025-07-18,19.49,19.61,19.32,19.37,443348.2,871219.99,-0.4571,27.1357
2025-07-21,19.35,19.4,19.21,19.26,426413.67,832094.08,-0.5612,27.1357
2025-07-22,19.22,19.29,18.92,19.08,524090.69,1010232.23,-0.9749,27.1357
2025-07-23,19.02,19.21,18.92,18.94,447639.35,861903.5,-0.7254,27.1357
2025-07-24,18.94,19.27,18.9,19.25,558846.23,1082713.37,1.6701,27.1357
2025-07-25,19.25,19.27,19.02,19.13,435759.75,843064.93,-0.616,27.1357
2025-07-28,19.27,19.65,19.27,19.43,898662.8,1768584.68,1.5496,27.1357
2025-07-29,19.45,19.96,19.01,19.61,1153697.36,2270503.92,0.9156,27.1357
2025-07-30,19.56,21.11,19.48,20.31,2127767.89,4376548.34,3.5786,27.1357
2025-07-31,20.18,20.2,19.47,19.57,1168821.09,2330388.98,-3.6496,27.1357
2025-08-01,19.85,20.09,19.48,19.9,898576.93,1796920.66,1.6667,27.1357
2025-08-04,20.07,21.74,19.96,20.66,1780991.8,3750757.05,3.8251,27.1357
2025-08-05,20.48,21.05,20.36,20.76,1013977.85,2124155.21,0.4785,27.1357
2025-08-06,21.03,21.05,20.35,20.58,968056.48,2012034.08,-0.8571,27.1357
2025-08-07,20.67,21.34,20.59,21.19,1265893.33,2697989.17,2.9779,27.1357
2025-08-08,20.98,20.98,20.41,20.41,1001590.6,2084729.93,-3.6847,27.1357
2025-08-11,19.67,19.69,19.17,19.57,1134876.98,2241041.01,-4.1162,27.1357
2025-08-12,19.52,19.62,19.27,19.36,701259.43,1375989.64,-1.0606,27.1357
2025-08-13,19.33,19.45,19.25,19.39,595066.03,1165385.95,0.1531,27.1357
2025-08-14,19.39,19.45,18.94,18.99,738069.28,1431671.63,-2.0897,27.1357
2025-08-15,18.99,19.19,18.98,19.19,476699.93,921429.98,1.0932,27.1357
2025-08-18,19.15,19.87,19.12,19.65,1145030.69,2282026.27,2.3687,27.1357
2025-08-19,19.73,19.78,19.38,19.43,676773.56,1336360.0,-1.1066,27.1357
2025-08-20,19.38,19.5,19.22,19.5,516594.32,1012189.23,0.3561,27.1357
2025-08-21,19.49,20.05,19.46,19.83,970357.3,1940117.08,1.6726,27.1357
2025-08-22,19.82,20.28,19.6,20.25,1053495.11,2134310.12,2.1436,27.1357
2025-08-25,20.26,20.73,20.12,20.63,1176511.71,2431095.53,1.8546,27.1357
2025-08-26,20.44,20.76,20.37,20.71,939122.09,1960820.45,0.3833,27.1357
2025-08-27,20.41,20.41,19.57,19.57,1579945.48,3201300.9,-5.4893,27.1357
2025-08-28,19.57,19.85,19.27,19.82,909313.78,1803815.19,1.2626,27.1357
2025-08-29,19.83,19.96,19.5,19.53,630594.18,1255304.19,-1.4464,27.1357
2025-09-01,19.55,19.69,19.37,19.64,589059.72,1165291.05,0.5567,27.1357
2025-09-02,19.61,19.61,18.65,18.82,931959.7,1788283.8,-4.1772,27.1357
2025-09-03,18.87,18.95,18.2,18.25,656216.21,1230747.11,-2.9937,27.1357
2025-09-04,18.36,18.4,17.7,17.91,575652.07,1053247.22,-1.895,27.1357
2025-09-05,17.98,18.42,17.88,18.39,584718.18,1075955.06,2.7042,27.1357
2025-09-08,18.4,18.73,18.29,18.65,524491.16,985109.47,1.3971,27.1357
2025-09-09,18.65,18.83,18.38,18.58,474560.53,892962.77,-0.371,27.1357
2025-09-10,18.59,19.56,18.49,19.29,1327126.06,2582731.75,3.8298,27.1357
2025-09-11,19.12,19.17,18.54,19.09,887306.88,1689911.58,-1.0246,27.1357
2025-09-12,19.09,19.32,18.94,19.06,613235.38,1183845.82,-0.207,27.1357
2025-09-15,19.17,19.36,18.88,19.11,655882.25,1268484.74,0.3112,27.1357
2025-09-16,19.12,19.16,18.76,18.98,575905.23,1102957.41,-0.7239,27.1357
2025-09-17,18.94,19.04,18.63,18.86,633056.66,1203136.18,-0.625,27.1357
2025-09-18,18.79,18.85,18.26,18.41,649297.07,1223500.73,-2.3585,27.1357
2025-09-19,18.39,19.29,18.38,18.79,932212.18,1780035.19,2.0397,27.1357
2025-09-22,18.6,18.66,18.23,18.48,579149.58,1077211.62,-1.6307,27.1357
2025-09-23,18.45,19.22,18.23,19.19,1230473.1,2351007.5,3.8503,27.1357
2025-09-24,19.1,20.2,18.99,19.82,1524649.02,3057003.55,3.2441,27.1357
2025-09-25,19.52,20.07,19.51,19.79,1101385.15,2212976.18,-0.1496,27.1357
2025-09-26,19.85,19.9,19.31,19.34,666688.1,1317465.67,-2.2478,27.1357
2025-09-29,19.26,19.35,18.61,19.06,672279.25,1291680.4,-1.4819,27.1357
