参数组合,交易次数,策略总收益(%),买入持有(%),策略年化(%),最大回撤(%),夏普比率,胜率(%),盈亏比,日收益标准差
"光线传媒(300251) MA(5,15)",12,-26.83,-40.15,-27.48,-36.20,-0.51,25.0,0.24,0.0329
"光线传媒(300251) MA(5,20)",9,-27.75,-40.15,-28.42,-37.02,-0.56,11.1,0.29,0.0329
"光线传媒(300251) MA(10,30)",6,-19.38,-40.15,-19.88,-44.41,-0.34,33.3,0.17,0.0329
"光线传媒(300251) MA(5,10)",16,-24.20,-40.15,-24.80,-36.65,-0.43,25.0,0.42,0.0329
"贵州茅台(600519) MA(5,15)",11,-10.66,-11.37,-10.82,-16.31,-1.06,45.5,0.34,0.0131
"贵州茅台(600519) MA(5,20)",8,-13.99,-11.37,-14.19,-18.77,-1.37,25.0,0.03,0.0131
"贵州茅台(600519) MA(10,30)",6,-20.15,-11.37,-20.44,-25.25,-2.48,16.7,0.03,0.0131
"贵州茅台(600519) MA(5,10)",14,-12.36,-11.37,-12.55,-16.07,-1.22,35.7,0.36,0.0131
"宁德时代(300750) MA(5,15)",9,+2.40,+48.20,+2.44,-33.52,0.17,33.3,1.28,0.0245
"宁德时代(300750) MA(5,20)",8,+7.42,+48.20,+7.55,-27.57,0.32,37.5,1.55,0.0245
"宁德时代(300750) MA(10,30)",5,+25.85,+48.20,+26.31,-22.30,0.81,40.0,3.41,0.0245
"宁德时代(300750) MA(5,10)",13,+23.06,+48.20,+23.48,-16.68,0.73,46.2,2.06,0.0245
